transaction_id,event_date,posted_at,user_id,account_id,transaction_type,status,category,merchant,description,original_amount,currency,fx_rate_to_rub,amount_rub,direction,source,import_batch,external_id,related_transaction_id,is_duplicate,needs_review,error_code
TRANSACTION-3001,2026-01-01,2026-01-01T09:00:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,housing,Арендодатель,Ежемесячная аренда,55000,RUB,1,-55000,debit,bank_csv,BATCH-202601-01,BANK-202601-000001,,false,false,
TRANSACTION-3002,2026-01-01,2026-01-01T17:37:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Каршеринг,Короткая поездка,564,RUB,1,-564,debit,bank_csv,BATCH-202601-01,BANK-202601-000002,,false,false,
TRANSACTION-3003,2026-01-02,2026-01-02T12:25:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Каршеринг,Короткая поездка,473,RUB,1,-473,debit,bank_csv,BATCH-202601-01,BANK-202601-000003,,false,false,
TRANSACTION-3004,2026-01-02,2026-01-02T13:37:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,restaurants,Кофейня,Кофе и перекус,1282,RUB,1,-1282,debit,bank_csv,BATCH-202601-01,BANK-202601-000004,,false,false,
TRANSACTION-3005,2026-01-03,2026-01-03T07:00:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,subscriptions,Музыка,Ежемесячная подписка,399,RUB,1,-399,debit,bank_csv,BATCH-202601-01,BANK-202601-000005,,false,false,
TRANSACTION-3006,2026-01-03,2026-01-03T18:20:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,groceries,ВкусВилл,Покупка продуктов,5795,RUB,1,-5795,debit,bank_csv,BATCH-202601-01,BANK-202601-000006,,false,false,
TRANSACTION-3007,2026-01-04,2026-01-04T20:00:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,entertainment,Книжный клуб,Встреча и мероприятие,3007,RUB,1,-3007,debit,bank_csv,BATCH-202601-01,BANK-202601-000007,,false,false,
TRANSACTION-3008,2026-01-05,2026-01-05T10:00:00+03:00,U-1001,ACC-MAIN-RUB,income,posted,salary,Работодатель,"Зарплата, первая часть",95000,RUB,1,95000,credit,bank_csv,BATCH-202601-01,BANK-202601-000008,,false,false,
TRANSACTION-3009,2026-01-05,2026-01-05T11:40:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Такси,Поездка по городу,338,RUB,1,-338,debit,bank_csv,BATCH-202601-01,BANK-202601-000009,,false,false,
TRANSACTION-3010,2026-01-06,2026-01-06T08:57:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Каршеринг,Короткая поездка,578,RUB,1,-578,debit,bank_csv,BATCH-202601-01,BANK-202601-000010,,false,false,
TRANSACTION-3011,2026-01-06,2026-01-06T18:42:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,groceries,Лента,Продукты и бытовые товары,4733,RUB,1,-4733,debit,bank_csv,BATCH-202601-01,BANK-202601-000011,,false,false,
TRANSACTION-3013,2026-01-07,2026-01-07T13:50:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,restaurants,Бистро,Обед вне дома,2163,RUB,1,-2163,debit,bank_csv,BATCH-202601-01,BANK-202601-000013,,false,false,
TRANSACTION-3012,2026-01-07,2026-01-07T15:23:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Метро,Поездка на общественном транспорте,143,RUB,1,-143,debit,bank_csv,BATCH-202601-01,BANK-202601-000012,,false,false,
TRANSACTION-3014,2026-01-08,2026-01-08T08:00:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,utilities,Коммунальные услуги,"Квартплата, вода и электричество",4420,RUB,1,-4420,debit,bank_csv,BATCH-202601-01,BANK-202601-000014,,false,false,
TRANSACTION-3015,2026-01-09,2026-01-09T11:38:00+03:00,U-1001,ACC-MAIN-RUB,expense,posted,transport,Такси,Поездка по городу,771,RUB,1,-771,debit,bank_csv,BATCH-202601-01,BANK-202601-000015,,false,false,
